Date Time Milliseconds
2025/1/13 9:53:3 410013
2025/1/13 9:53:3 410106
2025/1/13 9:53:3 410199
2025/1/13 9:53:3 410295
2025/1/13 9:53:3 410388
2025/1/13 9:53:3 410682
2025/1/13 9:53:3 410855
2025/1/13 9:53:4 411029
2025/1/13 9:53:4 411362
2025/1/13 9:53:4 411776
2025/1/13 9:53:4 411990
2025/1/13 9:53:5 412124
2025/1/13 9:53:5 412298
2025/1/13 9:53:5 412513
2025/1/13 9:53:7 Stopped
2025/1/13 9:53:9 416170
2025/1/13 9:53:10 417988
2025/1/13 9:53:11 418364
2025/1/13 9:53:11 418620
2025/1/13 9:53:11 418874
2025/1/13 9:53:12 419088
2025/1/13 9:53:12 419463
2025/1/13 9:53:12 419958
2025/1/13 9:53:13 420336
2025/1/13 9:53:13 420709
2025/1/13 9:53:14 421124
2025/1/13 9:53:14 421660
2025/1/13 9:53:15 422276
2025/1/13 9:53:15 422852
2025/1/13 9:53:16 423347
2025/1/13 9:53:16 423843
2025/1/13 9:53:17 424500
2025/1/13 9:53:18 425076
2025/1/13 9:53:18 425573
2025/1/13 9:53:18 425989
2025/1/13 9:53:19 426404
2025/1/13 9:53:19 426902
2025/1/13 9:53:20 427479
2025/1/13 9:53:21 428054
2025/1/13 9:53:21 428589
2025/1/13 9:53:22 429044
2025/1/13 9:53:22 429620
2025/1/13 9:53:23 430237
2025/1/13 9:53:23 430976
2025/1/13 9:53:24 431551
2025/1/13 9:53:24 431966
2025/1/13 9:53:25 432341
2025/1/13 9:53:25 432836
2025/1/13 9:53:26 433493
2025/1/13 9:53:28 Stopped
2025/1/13 9:53:30 Stopped
2025/1/13 9:53:32 Stopped
2025/1/13 9:53:34 Stopped
2025/1/13 9:53:36 Stopped
2025/1/13 9:53:37 444696
2025/1/13 9:53:38 445073
2025/1/13 9:53:38 445569
2025/1/13 9:53:38 445984
2025/1/13 9:53:39 446318
2025/1/13 9:53:39 446573
2025/1/13 9:53:39 446787
2025/1/13 9:53:39 447002
2025/1/13 9:53:40 447175
2025/1/13 9:53:40 447352
2025/1/13 9:53:40 447486
2025/1/13 9:53:40 447659
2025/1/13 9:53:40 447833
2025/1/13 9:53:41 448127
2025/1/13 9:53:41 448422
2025/1/13 9:53:41 448558
2025/1/13 9:53:41 448691
2025/1/13 9:53:41 448825
2025/1/13 9:53:41 448958
2025/1/13 9:53:42 449092
2025/1/13 9:53:42 449307
2025/1/13 9:53:42 449402
2025/1/13 9:53:42 449615
2025/1/13 9:53:42 449749
2025/1/13 9:53:42 450003
2025/1/13 9:53:43 450257
2025/1/13 9:53:43 450391
2025/1/13 9:53:43 450565
2025/1/13 9:53:43 450820
2025/1/13 9:53:44 451198
2025/1/13 9:53:46 Stopped
2025/1/13 9:53:48 Stopped
2025/1/13 9:53:50 Stopped
2025/1/13 9:53:52 Stopped
2025/1/13 9:53:54 Stopped
2025/1/13 9:53:56 Stopped
2025/1/13 9:53:58 Stopped
2025/1/13 9:54:0 Stopped
2025/1/13 9:54:2 Stopped
2025/1/13 9:54:4 Stopped
2025/1/13 9:54:6 Stopped
2025/1/13 9:54:8 Stopped
2025/1/13 9:54:11 Stopped
2025/1/13 9:54:13 Stopped
2025/1/13 9:54:15 Stopped
2025/1/13 9:54:16 483108
2025/1/13 9:54:16 483443
2025/1/13 9:54:16 483697
2025/1/13 9:54:16 483911
2025/1/13 9:54:17 484087
2025/1/13 9:54:17 484262
2025/1/13 9:54:17 484558
2025/1/13 9:54:17 484973
2025/1/13 9:54:18 485630
2025/1/13 9:54:19 486045
2025/1/13 9:54:19 486339
2025/1/13 9:54:19 486552
2025/1/13 9:54:19 486807
2025/1/13 9:54:20 487224
2025/1/13 9:54:20 487761
2025/1/13 9:54:21 488417
2025/1/13 9:54:22 489154
2025/1/13 9:54:23 490092
2025/1/13 9:54:23 490949
2025/1/13 9:54:24 491686
2025/1/13 9:54:25 492543
2025/1/13 9:54:26 493481
2025/1/13 9:54:27 494498
2025/1/13 9:54:28 495195
2025/1/13 9:54:29 496339
2025/1/13 9:54:29 496874
2025/1/13 9:54:30 497248
2025/1/13 9:54:30 497582
2025/1/13 9:54:31 498037
2025/1/13 9:54:31 498975
2025/1/13 9:54:32 499430
2025/1/13 9:54:32 499764
2025/1/13 9:54:33 500021
2025/1/13 9:54:33 500276
2025/1/13 9:54:33 500530
2025/1/13 9:54:33 500784
2025/1/13 9:54:34 501118
2025/1/13 9:54:34 501574
2025/1/13 9:54:35 502029
2025/1/13 9:54:35 502284
2025/1/13 9:54:35 502537
2025/1/13 9:54:35 502711
2025/1/13 9:54:35 502887
2025/1/13 9:54:36 503021
2025/1/13 9:54:36 503198
2025/1/13 9:54:36 503372
2025/1/13 9:54:36 503506
2025/1/13 9:54:36 503680
2025/1/13 9:54:36 503854
2025/1/13 9:54:36 503988
2025/1/13 9:54:37 504161
2025/1/13 9:54:37 504337
2025/1/13 9:54:37 504526
2025/1/13 9:54:37 504700
2025/1/13 9:54:37 504873
2025/1/13 9:54:38 505047
2025/1/13 9:54:38 505221
2025/1/13 9:54:38 505395
2025/1/13 9:54:38 505569
2025/1/13 9:54:38 505744
