Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/13 11:30:20 27.39 311.00 0
2025/1/13 11:30:20 27.35 317.00 0
2025/1/13 11:30:20 27.33 319.00 0
2025/1/13 11:30:20 27.35 315.00 0
2025/1/13 11:30:21 27.29 311.00 0
2025/1/13 11:30:21 27.33 311.00 0
2025/1/13 11:30:21 27.33 322.00 0
2025/1/13 11:30:21 27.29 315.00 0
2025/1/13 11:30:22 27.33 316.00 0
2025/1/13 11:30:22 27.35 309.00 0
2025/1/13 11:30:22 27.29 308.00 0
2025/1/13 11:30:22 27.29 322.00 0
2025/1/13 11:30:22 27.39 314.00 0
2025/1/13 11:30:23 27.37 312.00 0
2025/1/13 11:30:23 27.35 312.00 0
2025/1/13 11:30:23 27.35 317.00 0
2025/1/13 11:30:23 27.37 307.00 0
2025/1/13 11:30:24 27.37 319.00 0
2025/1/13 11:30:24 27.33 319.00 0
